#,Invoice,Additional information,Right steering wheel position,Climatisation,Colour,Origin,Varnish,Number of Seats,Door Count,Power,Type,Drive,VIN number,Brand,Offer type,Light,Origin,Engine capacity,Mileage,Fuel,Year of production,Transmission,Condition,Varnish,Features- safety,Features-  comfort,Features-  multimedia,Features- other,Download_date,Model,Ticket,Price,Serie,Title
65,Wystawiam faktur? VAT,Zarejestrowany w Polsce,Nie,automatyczna jednostrefowa,Czarny,Polska,Metalik,4/5,5,110 KM,Hatchback,Na przednie ko?a,,Audi,,?wiat?a przeciwmg?owe,krajowe,1598 cm³,96320 km,Diesel,2015,Manualna,U?ywany,,,,,,2020-07-07 15:01:48.142814,A3,9467197557,52000,8V (2012-),"Audi A3 1.6 TDI , 1. W?a?ciciel, Navi 9467197557 - Allegro.pl"
66,Wystawiam faktur? VAT-mar?a,,,automatyczna dwustrefowa,Niebieski,,,,5,150 KM,Hatchback,Na przednie ko?a,,Audi,,,,1998 cm³,262192 km,Benzyna,2003,Manualna,U?ywany,,,,,,2020-07-07 15:01:50.413299,A3,9270257481,13700,8P (2003-2012),"Audi A3 2.0 Benzyna, 150 PS, Model : 2004, Lift 9270257481 - Allegro.pl"
67,Nie wystawiam faktury,,,automatyczna dwustrefowa,Bia?y,,,,5,333 KM,Sedan,4x4,,Audi,,,,3000 cm³,73000 km,Benzyna,2015,Automatyczna,U?ywany,,,,,,2020-07-07 15:01:51.709354,S4,9470398913,97500,B8 (2007-2015),Audi S4 333KM. Pi?kne. Bang.Alkantara.Pilne.Okazja 9470398913 - Allegro.pl
68,Wystawiam faktur? VAT,,,automatyczna dwustrefowa,Szary,,,4/5,5,385 KM,Sedan,4x4,WAUZZZ4H9EN015900,Audi,sprzeda?,,,4134 cm³,120593 km,Diesel,2014,Automatyczna,U?ywany,,,,,,2020-07-07 15:01:57.777312,A8,9412567505,199900,D4 (2010-),"Vat23%, MatrixBeam, Head-UP, Wentylacj, kamera 9412567505 - Allegro.pl"
69,Nie wystawiam faktury,,,automatyczna dwustrefowa,Srebrny,,,4/5,5,130 KM,Sedan,Na przednie ko?a,,Audi,sprzeda?,?wiat?a przeciwmg?owe,import,1896 cm³,270000 km,Diesel,2003,Manualna,U?ywany,,,,Radio niefabryczne,,2020-07-07 15:01:58.816256,A6,9405254304,8900,C5 (1997-2004),AUDI A6 1.9 TDI 130 KM sedan skóry alu zobacz 9405254304 - Allegro.pl
70,Nie wystawiam faktury,,Nie,automatyczna jednostrefowa,Niebieski,Belgia,Metalik,4/5,5,136 KM,Sedan,Na przednie ko?a,,Audi,sprzeda?,,,1968 cm³,238000 km,Diesel,2008,Manualna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:01:59.883915,A4,9337461394,36500,B8 (2007-2015),AUDI A4 B8 2.0 TDI CR *PARKTRONIC *NAVI PL *LED 9337461394 - Allegro.pl
71,Wystawiam faktur? VAT,Zarejestrowany w Polsce,Nie,automatyczna jednostrefowa,Srebrny,Polska,Metalik,4/5,5,100 KM,Sedan,Na przednie ko?a,,Audi,,?wiat?a przeciwmg?owe,krajowe,1595 cm³,240436 km,Benzyna,1999,Manualna,U?ywany,,,,CD,,2020-07-07 15:02:01.704720,A4,9449774737,5000,B5 (1995-2001),"Audi A4 1.6 , Klimatronic,ALU, El. szyby 9449774737 - Allegro.pl"
72,Nie wystawiam faktury,,,automatyczna dwustrefowa,inny,Szwajcaria,Metalik,4/5,5,333 KM,Kombi,4x4,WAUZZZ8K0BA007581,Audi,sprzeda?,,,2995 cm³,130000 km,Benzyna,2010,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:02:04.625750,S4,9438346383,77999,B8 (2007-2015),Audi S4 B8 Avant 3.0 V6 333KM (Szwajcaria) 9438346383 - Allegro.pl
73,Wystawiam faktur? VAT,,,automatyczna dwustrefowa,Niebieski,,,,5,200 KM,SUV,,,Audi,sprzeda?,,,1984 cm³,21900 km,Benzyna,2017,Automatyczna,U?ywany,,,,,,2020-07-07 15:02:05.880686,Q3,9158938484,94900,,Audi Q3 2.0 TFSI 200KM VAT 23% 9158938484 - Allegro.pl
74,Wystawiam faktur? VAT,Zarejestrowany w Polsce,Nie,automatyczna jednostrefowa,Zielony,Polska,Metalik,4/5,5,110 KM,Kombi,Na przednie ko?a,,Audi,,,krajowe,1896 cm³,358134 km,Diesel,1998,Manualna,U?ywany,,,,CD,,2020-07-07 15:02:06.873225,A4,9467047456,5000,B5 (1995-2001),"Audi A4 1.9 TDI , Klimatronic,ALU, El. szyby 9467047456 - Allegro.pl"
75,Wystawiam faktur? VAT-mar?a,,Nie,manualna,Czarny,,Metalik,4/5,5,150 KM,SUV,Na przednie ko?a,,Audi,sprzeda?,?wiat?a mijania LED,,1395 cm³,42000 km,Benzyna,2016,Manualna,U?ywany,,,,,,2020-07-07 15:02:07.993149,Q3,9405990068,54900,,Audi Q3 1.4 9405990068 - Allegro.pl
76,Nie wystawiam faktury,,Nie,automatyczna jednostrefowa,Czerwony,Niemcy,Akryl (niemetalizowany),2/3,4,211 KM,Coupe,Na przednie ko?a,,Audi,sprzeda?,,,1984 cm³,158600 km,Benzyna,2007,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:02:09.015716,TT,9202980931,48000,8J (2006-2013),AUDI TT (8J3) 2.0 TFSI 9202980931 - Allegro.pl
77,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna dwustrefowa,Pomara?czowy,Polska,Metalik,4/5,5,170 KM,SUV,4x4,,Audi,sprzeda?,,,1984 cm³,125 km,Benzyna,2012,Manualna,U?ywany,,,,,,2020-07-07 15:02:10.209100,Q3,9378665349,64700,,AUDI Q3 2.0 TFSI 170KM QUATTRO S-LINE SALON POLSKA 9378665349 - Allegro.pl
78,Nie wystawiam faktury,,,automatyczna dwustrefowa,Bia?y,,,,5,190 KM,Sedan,Na przednie ko?a,,Audi,,,,1968 cm³,172000 km,Diesel,2013,Manualna,U?ywany,,,,,,2020-07-07 15:02:11.178953,A4,8967132260,55000,B8 (2007-2015),SAMOCHOD OSOBOWY AUDI A4 2.0TDI CR 197 KM 8967132260 - Allegro.pl
79,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna dwustrefowa,Szary,,Metalik,4/5,5,163 KM,Sedan,Na przednie ko?a,,Audi,sprzeda?,,,2000 cm³,167804 km,Diesel,2011,Manualna,U?ywany,,,,,,2020-07-07 15:02:12.517732,A6,9084026936,66700,C4 (1994-1997),Audi A6 9084026936 - Allegro.pl
80,Nie wystawiam faktury,,Nie,automatyczna dwustrefowa,Szary,Polska,Metalik,4/5,5,180 KM,Liftback,4x4,WAUZZZ8V6GA005061,Audi,sprzeda?,,krajowe,1798 cm³,85430 km,Benzyna,2015,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:02:13.835133,A3,9450503777,78000,8V (2012-),AUDI A3 Sportback 1.8 TFSI quattro 179 KM s-line 9450503777 - Allegro.pl
81,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna dwustrefowa,Czarny,Niemcy,Metalik,4/5,5,170 KM,SUV,4x4,,Audi,sprzeda?,,,2000 cm³,257280 km,Diesel,2009,Manualna,U?ywany,,,,,,2020-07-07 15:02:15.345432,Q5,9084022522,52700,8R (2008-2016),Audi Q5 9084022522 - Allegro.pl
82,Nie wystawiam faktury,,Nie,automatyczna jednostrefowa,Srebrny,Niemcy,,2/3,5,101 KM,Hatchback,Na przednie ko?a,,Audi,sprzeda?,,import,1600 cm³,245000 km,Benzyna,2001,Automatyczna,U?ywany,,,,,,2020-07-07 15:02:16.784770,A3,9138893729,8500,8L (1996-2003),AUDI A3 (8L1) 1.6 101 KM 9138893729 - Allegro.pl
83,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna dwustrefowa,Szary,,Metalik,4/5,5,143 KM,Kombi,Na przednie ko?a,,Audi,sprzeda?,,,2000 cm³,229230 km,Diesel,2010,Manualna,U?ywany,,,,,,2020-07-07 15:02:17.944866,A4,9084023118,33700,B5 (1995-2001),Audi A4 9084023118 - Allegro.pl
84,Wystawiam faktur? VAT,,Nie,automatyczna jednostrefowa,Czarny,Polska,Metalik,4/5,5,245 KM,SUV,4x4,,Audi,,,krajowe,2967 cm³,138206 km,Diesel,2015,Automatyczna,U?ywany,,,,,,2020-07-07 15:02:19.152335,Q7,9449137350,112000,I (2005-2015),"Audi Q7 3.0 TDI , Salon Polska, Serwis ASO 9449137350 - Allegro.pl"
85,Wystawiam faktur? VAT-mar?a,,,automatyczna jednostrefowa,Czarny,,Metalik,,5,150 KM,Kombi,Na przednie ko?a,,Audi,sprzeda?,,import,2000 cm³,160000 km,Diesel,2015,Manualna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:02:22.094787,A4,9432891069,49900,B8 (2007-2015),"AUDI A4 B8 LIFT, 100% Bezwypadkowy w Oryginale ! 9432891069 - Allegro.pl"
86,Wystawiam faktur? VAT-mar?a,,,automatyczna dwustrefowa,Z?oty,Niemcy,Metalik,,5,170 KM,SUV,4x4,,Audi,sprzeda?,,import,2000 cm³,190000 km,Diesel,2009,Manualna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:02:23.882584,Q5,9372533478,53900,8R (2008-2016),"AUDI Q5, 2,0 TDI QUATTRO, Bezwypadkowy, Super Stan 9372533478 - Allegro.pl"
87,Wystawiam faktur? VAT,,Nie,automatyczna czterostrefowa,inny,Polska,Metalik,,5,272 KM,Sedan,4x4,,Audi,sprzeda?,,krajowe,3000 cm³,106000 km,Diesel,2016,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:02:25.229437,A6,9267580786,128500,C7 (2011-),Audi A6 3.0 TDI 272KM Krajowy Bezwypadkowy FV23% 9267580786 - Allegro.pl
88,Nie wystawiam faktury,,,automatyczna dwustrefowa,Srebrny,,,,5,130 KM,Hatchback,,,Audi,,,,1900 cm³,100000 km,Diesel,2005,Manualna,Uszkodzony,,,,,,2020-07-07 15:02:26.367121,A3,9415209841,2500,8P (2003-2012),AUDI A3 8P CA?A LUB NA CZ??CI 9415209841 - Allegro.pl
89,Nie wystawiam faktury,,,brak,Zielony,,,,5,90 KM,Kombi,Na przednie ko?a,,Audi,,,,1900 cm³,317000 km,Diesel,1994,Manualna,U?ywany,,,,,,2020-07-07 15:02:27.575574,80,9398664101,2300,B4 (1991-1995),Audi 80 B4 9398664101 - Allegro.pl
90,Nie wystawiam faktury,,Nie,automatyczna dwustrefowa,Szary,,Akryl (niemetalizowany),4/5,5,110 KM,Liftback,Na przednie ko?a,WAUZZZ8Z93N009353,Audi,sprzeda?,,,1598 cm³,260000 km,Benzyna,2002,Manualna,U?ywany,,,,,,2020-07-07 15:02:28.663969,A2,9081673445,11500,,AUDI A2 (8Z0) 1.6 FSI 110 KM 9081673445 - Allegro.pl
91,Wystawiam faktur? VAT-mar?a,,,automatyczna dwustrefowa,Czarny,,,,5,170 KM,Kombi,Na przednie ko?a,,Audi,,,,2000 cm³,298311 km,Diesel,2007,Manualna,U?ywany,,,,,,2020-07-07 15:02:30.312751,A4,9138309218,19700,B7 (2004-2007),"Audi A4 B7 S-LINE 2.0 TDI, 170 PS 9138309218 - Allegro.pl"
92,Wystawiam faktur? VAT,,Nie,automatyczna jednostrefowa,Srebrny,Polska,Metalik,4/5,5,177 KM,Kombi,Na przednie ko?a,,Audi,,,krajowe,1968 cm³,111126 km,Diesel,2013,Automatyczna,U?ywany,,,,,,2020-07-07 15:02:32.216202,A4,9442812393,55000,B8 (2007-2015),"Audi A4 2.0 TDI , Salon Polska, 1. W?a?ciciel 9442812393 - Allegro.pl"
93,Wystawiam faktur? VAT-mar?a,,,automatyczna dwustrefowa,Szary,,,,5,116 KM,Hatchback,Na przednie ko?a,,Audi,,,,1598 cm³,159640 km,Benzyna,2007,Manualna,U?ywany,,,,,,2020-07-07 15:02:33.513446,A3,9203983297,22700,8P (2003-2012),"Audi A3 1.6 Benzyna Sportback, Podwójny Szyberdach 9203983297 - Allegro.pl"
94,Wystawiam faktur? VAT-mar?a,,,automatyczna jednostrefowa,Czarny,,Metalik,,5,150 KM,Kombi,Na przednie ko?a,,Audi,sprzeda?,,import,2000 cm³,160000 km,Diesel,2015,Manualna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:02:34.480202,A4,9465943499,49900,B8 (2007-2015),"AUDI A4 B8 LIFT, 100% Bezwypadkowy w Oryginale ! 9465943499 - Allegro.pl"
95,Nie wystawiam faktury,,Nie,automatyczna jednostrefowa,Bia?y,Niemcy,Metalik,4/5,5,150 KM,Kombi,Na przednie ko?a,,Skoda,sprzeda?,,import,2000 cm³,172000 km,Diesel,2016,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:02:36.049405,Superb,9152999311,75500,III (2015-),AUDI A4 2.0 TDI S Line MAXXX IDEALNE 100% ORYGINA? 9152999311 - Allegro.pl
96,Wystawiam faktur? VAT,,Nie,automatyczna dwustrefowa,Bia?y,Polska,,,5,190 KM,Kombi,4x4,,Audi,sprzeda?,,krajowe,2000 cm³,89000 km,Diesel,2015,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:02:37.637835,A4 Allroad,9056059670,85977,,Audi A4 Allroad 2.0TDI 190KM Quattro STronic FV23% 9056059670 - Allegro.pl
97,Wystawiam faktur? VAT,,,automatyczna czterostrefowa,Br?zowy,Polska,Metalik,4/5,5,313 KM,Kombi,4x4,,Audi,sprzeda?,,krajowe,2967 cm³,192000 km,Diesel,2013,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:02:39.212196,A6 Allroad,9349374015,107900,C7 (2012-),AUDI A6 ALLROAD 313 N/V BOSE WENT F. S.PL FV23% 9349374015 - Allegro.pl
98,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna dwustrefowa,Srebrny,,Metalik,2/3,5,102 KM,Hatchback,Na przednie ko?a,,Audi,sprzeda?,,,1600 cm³,219729 km,Benzyna,2004,Manualna,U?ywany,,,,,,2020-07-07 15:02:40.773948,A3,9084022957,14700,8L (1996-2003),Audi A3 1.6 9084022957 - Allegro.pl
99,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna dwustrefowa,Czarny,Stany Zjednoczone,Metalik,4/5,5,220 KM,Sedan,4x4,,Audi,sprzeda?,,,1984 cm³,37000 km,Benzyna,2016,Automatyczna,U?ywany,,,,,,2020-07-07 15:02:42.148754,A3,9439262824,63900,8V (2012-),Audi A3 9439262824 - Allegro.pl
100,Wystawiam faktur? VAT,,,automatyczna czterostrefowa,Bia?y,Szwajcaria,Metalik,4/5,5,272 KM,Liftback,4x4,,Audi,,,,2995 cm³,123 km,Benzyna,2013,Automatyczna,U?ywany,,,,,,2020-07-07 15:02:43.376229,A5,9434618575,89500,8T (2007-2016),AUDI A5 3xS-line 3.0 TFSI quattro 272 KM 9434618575 - Allegro.pl
101,Nie wystawiam faktury,,,automatyczna dwustrefowa,Bia?y,,,,4,354 KM,Coupe,4x4,,Audi,,,,2995 cm³,30000 km,Benzyna,2017,Automatyczna,U?ywany,,,,,,2020-07-07 15:02:44.698673,A5,9451624822,189000,F5 (2016-),AUDI S5 quattro 354 KM 9451624822 - Allegro.pl
102,Wystawiam faktur? VAT,,,automatyczna dwustrefowa,Szary,Polska,,4/5,5,218 KM,SUV,4x4,WAUZZZ4M2HD057333,Audi,sprzeda?,,krajowe,3000 cm³,39122 km,Diesel,2017,Automatyczna,U?ywany,,,,,,2020-07-07 15:02:46.127377,Q7,9367345424,189900,II (2015-),"Salon PL,Vat 23%,Podgrzewane fotele,Navi,Przebieg, 9367345424 - Allegro.pl"
103,Nie wystawiam faktury,,Nie,automatyczna czterostrefowa,Czarny,Niemcy,Metalik,4/5,7,233 KM,Terenowy,4x4,WAUZZZ4L17D015628,Audi,sprzeda?,,,2967 cm³,291600 km,Diesel,2006,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:02:47.360578,Q7,9369768924,45000,I (2005-2015),AUDI Q7 QUATTRO 3.0 TDI 2006 9369768924 - Allegro.pl
104,Wystawiam faktur? VAT,,,automatyczna czterostrefowa,Srebrny,,,,5,385 KM,Sedan,4x4,,Audi,,,,4200 cm³,109000 km,Diesel,2015,Automatyczna,U?ywany,,,,,,2020-07-07 15:02:48.620000,A8,9357989152,180000,D4 (2010-),Audi A8L 4.2 tdi quattro audi select + gwarancja 9357989152 - Allegro.pl
105,Wystawiam faktur? VAT,,Nie,automatyczna jednostrefowa,Szary,Polska,Metalik,4/5,5,140 KM,Sedan,Na przednie ko?a,,Audi,,?wiat?a przeciwmg?owe,krajowe,1968 cm³,139808 km,Diesel,2006,Automatyczna,U?ywany,,,,CD,,2020-07-07 15:02:49.863629,A4,9467174283,22300,B7 (2004-2007),"Audi A4 2.0 TDI , Salon Polska, Automat 9467174283 - Allegro.pl"
106,Wystawiam faktur? VAT,Zarejestrowany w Polsce,Nie,automatyczna jednostrefowa,Czarny,Polska,Metalik,4/5,5,136 KM,Kombi,Na przednie ko?a,,Audi,,,krajowe,1968 cm³,220350 km,Diesel,2013,Manualna,U?ywany,,,,,,2020-07-07 15:02:51.265892,A4,9466664813,48000,B8 (2007-2015),"Audi A4 2.0 TDI , Navi, Xenon, Bi-Xenon 9466664813 - Allegro.pl"
107,Nie wystawiam faktury,,,automatyczna dwustrefowa,inny,,,,5,163 KM,Kombi,4x4,,Audi,,,,2699 cm³,244000 km,Diesel,2006,Automatyczna,U?ywany,,,,,,2020-07-07 15:02:52.882132,A6 Allroad,9443968946,24700,C6 (2006-2011),Audi A6 Allroad 2.7 TDI 163KM 9443968946 - Allegro.pl
108,Nie wystawiam faktury,,,automatyczna jednostrefowa,Szary,,,,5,150 KM,Hatchback,Na przednie ko?a,,Audi,,,,1600 cm³,31000 km,Diesel,2018,Automatyczna,U?ywany,,,,,,2020-07-07 15:02:55.561977,A3,9330756376,85000,8V (2012-),Audi A3 Mozliwosc ZAMIANY 9330756376 - Allegro.pl
109,Nie wystawiam faktury,,Nie,automatyczna dwustrefowa,Szary,Niemcy,Per?owy,4/5,5,233 KM,Sedan,4x4,WAUZZZ4F55N017089,Audi,sprzeda?,,import,2967 cm³,265686 km,Diesel,2005,Automatyczna,U?ywany,,,,,,2020-07-07 15:02:57.164164,A6,9462275472,17500,C6 (2004-2011),Audi A6 C6 SEDAN 3.0 tdi Quattro Tiptronic 19 Cali 9462275472 - Allegro.pl
110,Nie wystawiam faktury,Zarejestrowany w Polsce,Nie,manualna,Zielony,Niemcy,Metalik,2/3,5,150 KM,Kabriolet,Na przednie ko?a,,Audi,sprzeda?,,,2600 cm³,226000 km,Benzyna,1996,Manualna,U?ywany,,,,Radio fabryczne,Alufelgi,2020-07-07 15:02:58.547396,Cabriolet,9444726767,17900,,"Audi 80 cabrio 1996r 2.6 benzyna klima, ele.dach 9444726767 - Allegro.pl"
111,Wystawiam faktur? VAT,Zarejestrowany w Polsce,,automatyczna dwustrefowa,Srebrny,,Metalik,4/5,5,163 KM,Kombi,Na przednie ko?a,,Audi,sprzeda?,,,2496 cm³,311000 km,Diesel,2004,Manualna,U?ywany,naprawy blacharsko-lakiernicze,,,,,2020-07-07 15:03:00.014632,A4,9427441416,6500,B6 (2000-2004),Audi A4 Avant 9427441416 - Allegro.pl
112,Wystawiam faktur? VAT,,,automatyczna jednostrefowa,Czarny,Polska,,4/5,5,177 KM,Kombi,Na przednie ko?a,WAUZZZ8K7DA027684,Audi,sprzeda?,,krajowe,2000 cm³,219735 km,Diesel,2012,Automatyczna,U?ywany,,,,,,2020-07-07 15:03:01.387339,A4,9367339538,39900,B8 (2007-2015),"Polski salon, ASO Audi, Bi-xenon, LED, Klima 2 str 9367339538 - Allegro.pl"
113,Wystawiam faktur? VAT-mar?a,,Nie,automatyczna dwustrefowa,Czarny,Kanada,Metalik,4/5,5,250 KM,Sedan,4x4,,Audi,sprzeda?,,,1998 cm³,24000 km,Benzyna,2018,Automatyczna,U?ywany,,,,,,2020-07-07 15:03:02.736692,A4,9286025418,104900,B9 (2015-),Audi A4 2.0 TFSI 250 KM 2018r WARSZAWA 9286025418 - Allegro.pl
114,Wystawiam faktur? VAT-mar?a,Zarejestrowany w Polsce,Nie,automatyczna dwustrefowa,Bia?y,S?owenia,Per?owy,4/5,5,580 KM,Kombi,4x4,,Audi,sprzeda?,?wiat?a do jazdy dziennej,,4991 cm³,91000 km,Benzyna,2008,Automatyczna,U?ywany,,,,,,2020-07-07 15:03:04.009176,RS6,9286025334,99999,,Audi RS6 5.0 BENZ 580 KM 2008r WARSZAWA 9286025334 - Allegro.pl
115,Nie wystawiam faktury,,,automatyczna dwustrefowa,Srebrny,,,,7,233 KM,Terenowy,4x4,,Audi,sprzeda?,,,2967 cm³,298000 km,Diesel,2006,Automatyczna,U?ywany,,,,,,2020-07-07 15:03:05.708528,Q7,9337268905,36000,I (2005-2015),Audi Q7 offroad 2006 3.0 TDI 7-osobowe 9337268905 - Allegro.pl
116,Wystawiam faktur? VAT,,,automatyczna dwustrefowa,Bia?y,,,,5,150 KM,SUV,Na przednie ko?a,,Audi,,,,1500 cm³,8 km,Benzyna,2020,Automatyczna,Nowy,,,,,,2020-07-07 15:03:07.655105,Q3,9024491216,125500,,Audi Q3 35 TFSI SPORTBACK S tronic Wysoki RABAT !! 9024491216 - Allegro.pl
117,Wystawiam faktur? VAT,,,automatyczna dwustrefowa,Czarny,,,4/5,5,258 KM,Sedan,4x4,WAUZZZ4H0EN015350,Audi,sprzeda?,,,3000 cm³,274784 km,Diesel,2014,Automatyczna,U?ywany,,,,,,2020-07-07 15:03:08.780585,A8,9367340906,129900,D4 (2010-),"Vat23%,MatrixBeam,Kamera360 9367340906 - Allegro.pl"
118,Wystawiam faktur? VAT,,Nie,automatyczna jednostrefowa,Szary,Polska,Metalik,4/5,5,170 KM,SUV,4x4,,Audi,,,krajowe,1968 cm³,140034 km,Diesel,2009,Manualna,U?ywany,,,,,,2020-07-07 15:03:10.082764,Q5,9442823944,52000,8R (2008-2016),"Audi Q5 2.0 TDI , Salon Polska, Serwis ASO 9442823944 - Allegro.pl"
119,Wystawiam faktur? VAT-mar?a,,,automatyczna dwustrefowa,Szary,,Metalik,,5,110 KM,Hatchback,Na przednie ko?a,,Audi,sprzeda?,,import,1600 cm³,220000 km,Diesel,2011,Manualna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:03:11.490299,A3,9372475114,27800,8P (2003-2012),"AUDI A3 Sportback, TDI, ''AMBIENTE'' XSENON. 9372475114 - Allegro.pl"
120,Wystawiam faktur? VAT-mar?a,,,automatyczna jednostrefowa,Srebrny,Dania,,4/5,5,240 KM,Sedan,Na przednie ko?a,wauzzz8k0da173862,Audi,sprzeda?,,,3000 cm³,280000 km,Diesel,2012,Automatyczna,U?ywany,,,,Bluetooth,,2020-07-07 15:03:12.733369,A4,9417389771,49999,B8 (2007-2015),Audi A4 A4 B8 Lift 3.0TDI REJ PL Full ASO 9417389771 - Allegro.pl
121,Nie wystawiam faktury,,Nie,automatyczna czterostrefowa,inny,Niemcy,Metalik,,5,190 KM,Kombi,Na przednie ko?a,,Audi,,,import,1968 cm³,136000 km,Diesel,2015,Manualna,U?ywany,,,,,,2020-07-07 15:03:14.098712,A6,9347884604,83900,C7 (2011-),Audi A6 2015 Matrix Panorama Kamera 9347884604 - Allegro.pl
122,Wystawiam faktur? VAT,,Nie,automatyczna czterostrefowa,Czarny,Polska,Per?owy,4/5,5,313 KM,Kombi,4x4,WAUZZZ4GXEN159253,Audi,,,,2967 cm³,237000 km,Diesel,2014,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:03:15.795955,A6,9397944296,35000,C7 (2011-),AUDI A6 Avant 3.0TDI quattro 310 KM Aktywny Wydech 9397944296 - Allegro.pl
123,Wystawiam faktur? VAT,,,automatyczna dwustrefowa,inny,Polska,,4/5,5,163 KM,Sedan,Na przednie ko?a,,Audi,,,krajowe,1968 cm³,0 km,Diesel,2020,Automatyczna,Nowy,,,,,,2020-07-07 15:03:17.594478,A6,8201946018,149900,C8 (2018-),Audi A6 - NOWY taniej ni? w salonie 8201946018 - Allegro.pl
124,Wystawiam faktur? VAT,,Nie,automatyczna dwustrefowa,Szary,Hiszpania,Per?owy,4/5,5,218 KM,Kombi,4x4,,Audi,sprzeda?,,import,2967 cm³,113000 km,Diesel,2015,Automatyczna,U?ywany,,,,,,2020-07-07 15:03:19.497384,A6 Allroad,8844837604,95000,C7 (2012-),AUDI A6 C7 ALLROAD 3.0TDI 218KM 2015 # NOWA CENA! 8844837604 - Allegro.pl
125,Nie wystawiam faktury,,,automatyczna jednostrefowa,Zielony,,,,5,92 KM,Hatchback,Na przednie ko?a,,Audi,,,,1781 cm³,199285 km,Benzyna,1996,Manualna,U?ywany,,,,,,2020-07-07 15:03:20.876837,A3,9447819202,4900,8L (1996-2003),Audi A3 8L 1.8 125KM Benzyna Serwisowane Zadbane 9447819202 - Allegro.pl
126,Nie wystawiam faktury,,,automatyczna jednostrefowa,Czarny,,,,5,120 KM,Sedan,Na przednie ko?a,,Audi,,,,1800 cm³,103000 km,Benzyna,2008,Manualna,U?ywany,,,,,,2020-07-07 15:03:22.530225,A4,9382121108,34400,B8 (2007-2015),"Audi a4 b8 1,8 t 103 tys Przebiegu 9382121108 - Allegro.pl"
127,Nie wystawiam faktury,Zarejestrowany w Polsce,Tak,automatyczna dwustrefowa,Srebrny,Belgia,Metalik,4/5,5,245 KM,Sedan,4x4,WAUZZZ4G1BN033455,Audi,sprzeda?,,import,2967 cm³,245000 km,Diesel,2011,Automatyczna,Uszkodzony,,,,,,2020-07-07 15:03:23.746647,A6,7935683688,49900,C7 (2011-),AUDI A6 C7 QUATTRO 4X4 3.0TDI AUTOMAT 245KM 7935683688 - Allegro.pl
128,Nie wystawiam faktury,,,automatyczna dwustrefowa,Czarny,,,,5,435 KM,Sedan,4x4,,Audi,,,,5204 cm³,250000 km,Benzyna,2007,Automatyczna,U?ywany,,,,,,2020-07-07 15:03:25.284296,A6,9295406128,37500,C6 (2004-2011),"AUDI A6 (4F2, C6) S6 quattro 435 KM 9295406128 - Allegro.pl"
129,Nie wystawiam faktury,,Nie,automatyczna dwustrefowa,Niebieski,Francja,Metalik,4/5,5,116 KM,SUV,Na przednie ko?a,,Audi,sprzeda?,,import,1598 cm³,54000 km,Diesel,2017,Automatyczna,U?ywany,lakier fabryczny,,,,,2020-07-07 15:03:26.201273,Q2,9370295765,78900,,AUDI Q2 2017 1.6 TDI FULL LED KLIMATRONIC AUTOMAT 9370295765 - Allegro.pl
130,Nie wystawiam faktury,,Nie,automatyczna czterostrefowa,Niebieski,Niemcy,Per?owy,4/5,5,190 KM,Sedan,Na przednie ko?a,WAUZZZ4G0FN047711,Audi,sprzeda?,,,1968 cm³,263000 km,Diesel,2015,Automatyczna,U?ywany,,,,,,2020-07-07 15:03:27.243433,A6,9395078494,94999,C7 (2011-),Audi A6 S-Line*LED MATRIX*Domykanie*RADAR*FULL 9395078494 - Allegro.pl
131,Wystawiam faktur? VAT,,Nie,brak,Srebrny,,,,5,116 KM,Kombi,,,Audi,sprzeda?,,,1984 cm³,228100 km,Benzyna,1995,Manualna,U?ywany,,,,,Centralny zamek,2020-07-07 15:03:28.251527,80,9440832030,1900,B4 (1991-1995),AUDI 80 B4 AVANT 9440832030 - Allegro.pl
132,Nie wystawiam faktury,Zarejestrowany w Polsce,Nie,automatyczna dwustrefowa,Fioletowy,Niemcy,Metalik,4/5,5,245 KM,Coupe,4x4,,Audi,sprzeda?,,,2967 cm³,233000 km,Diesel,2011,Automatyczna,U?ywany,,,,,,2020-07-07 15:03:29.641818,A5,9318055033,54900,8T (2007-2016),AUDI A5 s-line 3.0 TDI quattro 245 KM felgi 20'' 9318055033 - Allegro.pl
